SKU,Nombre,Costo Unitario,Stock Actual,Tiempo Entrega,Proveedor,Demanda Anual,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12
FER-001,Cemento Portland 50kg,42.50,200,3,Soboce SA,4800,380,400,420,410,430,440,390,380,420,450,460,410
FER-002,Plancha de Zinc 2x1m,38.00,80,5,Metallix,1920,150,155,160,170,165,175,155,148,160,180,185,167
FER-003,Pintura Látex Blanco 18L,85.00,35,7,Pintuco Bolivia,840,65,70,68,72,75,78,70,65,68,80,82,67
FER-004,Cable THW #12 rollo 100m,52.00,150,12,Inducruz,3600,280,290,295,310,305,315,285,275,300,320,330,295
FER-005,Tubería PVC 1/2\" x 3m,8.50,500,4,Amanco,12000,950,980,1000,1020,1050,1080,970,950,1010,1100,1120,980
FER-006,Ladrillo Cerámico 6H,1.80,5000,2,Cerámica Roca,60000,4800,4900,5100,5200,5300,5400,5000,4800,5100,5500,5600,4900
FER-007,Cerámica Piso 45x45m2,22.00,120,10,Gala Bolivia,2880,220,230,240,245,250,260,235,225,240,255,270,230
FER-008,Disyuntor 2P 40A,34.00,60,8,Schneider,1440,110,115,118,120,125,130,112,108,115,130,135,112
FER-009,Pegamento para PVC 250ml,6.00,400,3,Pegatex,9600,780,790,800,810,820,840,785,770,800,850,870,785
FER-010,Taladro Percutor 650W,220.00,15,15,Black+Decker,360,28,30,32,30,35,38,30,28,32,36,38,29
FER-011,Disco Corte Metal 7\" x 1/8,4.50,600,6,Skil,14400,1150,1180,1200,1220,1250,1280,1160,1140,1190,1300,1320,1150
FER-012,Perno Hexagonal 3/8 x 2\" (100u),9.00,250,5,FV,6000,480,490,500,510,520,530,485,475,510,540,550,485
FER-013,Silicona Transparente 300ml,7.50,180,4,Sikasil,4320,340,350,355,360,370,380,345,335,360,385,390,340
FER-014,Interruptor Simple Bticino,12.00,300,7,Bticino,7200,580,590,600,610,620,640,585,575,600,650,660,580
FER-015,Tinaco Agua 250L PVC,150.00,25,10,Eternit,600,45,48,50,52,55,58,48,45,50,56,60,43
FER-016,Varilla Corrugada 12mm x 12m,28.00,90,8,Siderurgia,2160,170,175,180,185,190,200,172,168,180,195,200,170
FER-017,Esmeril Angular 4 1/2\",180.00,20,12,Bosch,480,38,40,42,40,45,48,38,35,40,45,48,35
FER-018,Cinta Aislante 3M rollo,2.50,800,3,3M,19200,1600,1620,1650,1680,1700,1750,1580,1550,1620,1780,1800,1580
FER-019,Reflector LED 100W,45.00,50,6,Philips,1200,95,100,98,105,110,115,100,95,102,112,118,95
FER-020,Grifería Cocina Monocomando,185.00,10,14,FV,240,18,20,22,20,22,25,20,18,20,24,25,16
